Primary Key_x,Order No,Segment Number_x,Coverage,Qty,Part Manufacturer,Part Number,Part Description,Revenue,Cost,Invoice Date,Actual Hours,Segment Total $,Primary Key_y,Segment Number_y,Order Date,Manufacturer,Model,Product Category,Model Year,Serial Number,Meter 1 Reading,Complaint,Cause,Correction,Failure Condition - Failure Component,Fix Condition - Fix Component
SO0018596-10,SO0018596,10,Mark 102-970-7135,6,PASE,30527348     PASE,ACTIFUL OT PREMIX,264.0,168.8199,44764,60.06960000000001,47856.9793$,SO0018596-11,11,2022-05-25,PASEIH,6780,APPL,0,YFT042399,2641.9,Still losing oil. would like this address now. Engine codes- Reference Service Order -5588,,"Begonnen habe ich mit dem Abziehen der Motorhaube, dem Abtrennen der Halterungen des Luftfiltergehäuses und aller daran befestigten Zubehörteile. DAS GEHÄUSE ENTFERNT UND MOTORÖL, KÜHLMITTEL UND HYDRAULIKFLÜSSIGKEIT ABGELASSEN. WIEDERGEWONNENES KÄLTEMITTEL. ALLE ANGESCHLOSSENEN LEITUNGEN UND SCHLÄUCHE ENTFERNT","Missed - No Component Mentioned, Missed - No Component Mentioned",No Component Mentioned - Installed
SO0018596-10,SO0018596,10,Mark 102-970-7135,6,PASE,30527348     PASE,ACTIFUL OT PREMIX,264.0,168.8199,44764,60.06960000000001,47856.9793$,SO0018596-12,12,2022-05-25,PASEIH,6780,APPL,0,YFT042399,2641.9,Still losing oil. would like this address now. Engine codes- Reference Service Order -5588,,"Begonnen habe ich mit dem Abziehen der Motorhaube, dem Abtrennen der Halterungen des Luftfiltergehäuses und aller daran befestigten Zubehörteile. DAS GEHÄUSE ENTFERNT UND MOTORÖL, KÜHLMITTEL UND HYDRAULIKFLÜSSIGKEIT ABGELASSEN. WIEDERGEWONNENES KÄLTEMITTEL. ALLE ANGESCHLOSSENEN LEITUNGEN UND SCHLÄUCHE ENTFERNT",Leak - Coupler,"Coupler - Replaced, Machine - Tested"
SO0018596-10,SO0018596,10,Mark 102-970-7135,6,PASE,30527348     PASE,ACTIFUL OT PREMIX,264.0,168.8199,44764,60.06960000000001,47856.9793$,SO0018596-13,13,2022-05-25,PASEIH,6780,APPL,0,YFT042399,2641.9,Still losing oil. would like this address now. Engine codes- Reference Service Order -5588,,"Begonnen habe ich mit dem Abziehen der Motorhaube, dem Abtrennen der Halterungen des Luftfiltergehäuses und aller daran befestigten Zubehörteile. DAS GEHÄUSE ENTFERNT UND MOTORÖL, KÜHLMITTEL UND HYDRAULIKFLÜSSIGKEIT ABGELASSEN. WIEDERGEWONNENES KÄLTEMITTEL. ALLE ANGESCHLOSSENEN LEITUNGEN UND SCHLÄUCHE ENTFERNT",Missed - Boom,"Bracket - Installed, Bolt - Installed"
SO0018596-10,SO0018596,10,Mark 102-970-7135,6,PASE,30527348     PASE,ACTIFUL OT PREMIX,264.0,168.8199,44764,60.06960000000001,47856.9793$,SO0018596-3,3,2022-05-09,PASEIH,6780,APPL,0,YFT042399,2579.1999,Alternator not charging.,,"Anschlüsse zur Lichtmaschine gereinigt. Überprüfen Sie, ob das Chassis gut geerdet ist. Spannung am Erregerkabel überprüft. Wenn man die serienmäßige Verkabelung mit einem Satz Überbrückungskabeln umging und die Lichtmaschine manuell erregte, ließ sie sich immer noch nicht laden",Error Code - Nozzle,No Component Mentioned - No Component Mentioned
SO0018596-10,SO0018596,10,Mark 102-970-7135,6,PASE,30527348     PASE,ACTIFUL OT PREMIX,264.0,168.8199,44764,60.06960000000001,47856.9793$,SO0018596-4,4,2022-05-12,PASEIH,6780,APPL,0,YFT042373,2409.5,Having fan belt issues,,"Der Kunde hatte Probleme damit, dass das Gerät die Lüfterriemen frisst. Jordan hat es auf den Lüfterriemenspanner isoliert. Ich habe den Lüfterriemen entfernt und dann den Spanner entfernt. Die Kurbelwellenriemenscheibe war voller Mist und scharfen Kanten, also ließ ich das Gerät laufen und benutzte eine Drahtbürste, um das G zu reinigen",Not Opening - Door,Gas Strut - Installed
SO0018596-10,SO0018596,10,Mark 102-970-7135,6,PASE,30527348     PASE,ACTIFUL OT PREMIX,264.0,168.8199,44764,60.06960000000001,47856.9793$,SO0018596-5,5,2022-05-12,PASEIH,6780,APPL,0,YFT042373,2409.5,Having fan belt issues,,"Der Kunde hatte Probleme damit, dass das Gerät die Lüfterriemen frisst. Jordan hat es auf den Lüfterriemenspanner isoliert. Ich habe den Lüfterriemen entfernt und dann den Spanner entfernt. Die Kurbelwellenriemenscheibe war voller Mist und scharfen Kanten, also ließ ich das Gerät laufen und benutzte eine Drahtbürste, um das G zu reinigen","Loose - Clip, Loose - Duct, Not Locked - Bulkhead","P Clip - Retightened, Nut - Retightened, Bolt - Retightened"
SO0018596-10,SO0018596,10,Mark 102-970-7135,6,PASE,30527348     PASE,ACTIFUL OT PREMIX,264.0,168.8199,44764,60.06960000000001,47856.9793$,SO0018596-6,6,2022-05-25,PASEIH,6780,APPL,0,YFT042399,2641.9,Still losing oil. would like this address now. Engine codes- Reference Service Order -5588,,"Begonnen habe ich mit dem Abziehen der Motorhaube, dem Abtrennen der Halterungen des Luftfiltergehäuses und aller daran befestigten Zubehörteile. DAS GEHÄUSE ENTFERNT UND MOTORÖL, KÜHLMITTEL UND HYDRAULIKFLÜSSIGKEIT ABGELASSEN. WIEDERGEWONNENES KÄLTEMITTEL. ALLE ANGESCHLOSSENEN LEITUNGEN UND SCHLÄUCHE ENTFERNT",Crushed - Compressor,Compressor Line - Replaced
SO0018596-11,SO0018596,11,Mark 102-970-7135,1,PASE,32977377     PASE,BELT,79.75,47.56,44764,60.06960000000001,47856.9793$,SO0018596-10,10,2022-05-25,PASEIH,6780,APPL,0,YFT042399,2641.9,Still losing oil. would like this address now. Engine codes- Reference Service Order -5588,,"Begonnen habe ich mit dem Abziehen der Motorhaube, dem Abtrennen der Halterungen des Luftfiltergehäuses und aller daran befestigten Zubehörteile. DAS GEHÄUSE ENTFERNT UND MOTORÖL, KÜHLMITTEL UND HYDRAULIKFLÜSSIGKEIT ABGELASSEN. WIEDERGEWONNENES KÄLTEMITTEL. ALLE ANGESCHLOSSENEN LEITUNGEN UND SCHLÄUCHE ENTFERNT",Not Mentioned - No Component Mentioned,"Bolt - Replaced, Thread - Cleaned, No Component Mentioned - Installed, No Component Mentioned - Retightened"
SO0018596-11,SO0018596,11,Mark 102-970-7135,1,PASE,32977377     PASE,BELT,79.75,47.56,44764,60.06960000000001,47856.9793$,SO0018596-11,11,2022-05-25,PASEIH,6780,APPL,0,YFT042399,2641.9,Still losing oil. would like this address now. Engine codes- Reference Service Order -5588,,"Begonnen habe ich mit dem Abziehen der Motorhaube, dem Abtrennen der Halterungen des Luftfiltergehäuses und aller daran befestigten Zubehörteile. DAS GEHÄUSE ENTFERNT UND MOTORÖL, KÜHLMITTEL UND HYDRAULIKFLÜSSIGKEIT ABGELASSEN. WIEDERGEWONNENES KÄLTEMITTEL. ALLE ANGESCHLOSSENEN LEITUNGEN UND SCHLÄUCHE ENTFERNT","Missed - No Component Mentioned, Missed - No Component Mentioned",No Component Mentioned - Installed
SO0018596-11,SO0018596,11,Mark 102-970-7135,1,PASE,32977377     PASE,BELT,79.75,47.56,44764,60.06960000000001,47856.9793$,SO0018596-12,12,2022-05-25,PASEIH,6780,APPL,0,YFT042399,2641.9,Still losing oil. would like this address now. Engine codes- Reference Service Order -5588,,"Begonnen habe ich mit dem Abziehen der Motorhaube, dem Abtrennen der Halterungen des Luftfiltergehäuses und aller daran befestigten Zubehörteile. DAS GEHÄUSE ENTFERNT UND MOTORÖL, KÜHLMITTEL UND HYDRAULIKFLÜSSIGKEIT ABGELASSEN. WIEDERGEWONNENES KÄLTEMITTEL. ALLE ANGESCHLOSSENEN LEITUNGEN UND SCHLÄUCHE ENTFERNT",Leak - Coupler,"Coupler - Replaced, Machine - Tested"
SO0018596-11,SO0018596,11,Mark 102-970-7135,1,PASE,32977377     PASE,BELT,79.75,47.56,44764,60.06960000000001,47856.9793$,SO0018596-13,13,2022-05-25,PASEIH,6780,APPL,0,YFT042399,2641.9,Still losing oil. would like this address now. Engine codes- Reference Service Order -5588,,"Begonnen habe ich mit dem Abziehen der Motorhaube, dem Abtrennen der Halterungen des Luftfiltergehäuses und aller daran befestigten Zubehörteile. DAS GEHÄUSE ENTFERNT UND MOTORÖL, KÜHLMITTEL UND HYDRAULIKFLÜSSIGKEIT ABGELASSEN. WIEDERGEWONNENES KÄLTEMITTEL. ALLE ANGESCHLOSSENEN LEITUNGEN UND SCHLÄUCHE ENTFERNT",Missed - Boom,"Bracket - Installed, Bolt - Installed"
SO0018596-11,SO0018596,11,Mark 102-970-7135,1,PASE,32977377     PASE,BELT,79.75,47.56,44764,60.06960000000001,47856.9793$,SO0018596-3,3,2022-05-09,PASEIH,6780,APPL,0,YFT042399,2579.1999,Alternator not charging.,,"Anschlüsse zur Lichtmaschine gereinigt. Überprüfen Sie, ob das Chassis gut geerdet ist. Spannung am Erregerkabel überprüft. Wenn man die serienmäßige Verkabelung mit einem Satz Überbrückungskabeln umging und die Lichtmaschine manuell erregte, ließ sie sich immer noch nicht laden",Error Code - Nozzle,No Component Mentioned - No Component Mentioned
SO0018596-11,SO0018596,11,Mark 102-970-7135,1,PASE,32977377     PASE,BELT,79.75,47.56,44764,60.06960000000001,47856.9793$,SO0018596-4,4,2022-05-12,PASEIH,6780,APPL,0,YFT042373,2409.5,Having fan belt issues,,"Der Kunde hatte Probleme damit, dass das Gerät die Lüfterriemen frisst. Jordan hat es auf den Lüfterriemenspanner isoliert. Ich habe den Lüfterriemen entfernt und dann den Spanner entfernt. Die Kurbelwellenriemenscheibe war voller Mist und scharfen Kanten, also ließ ich das Gerät laufen und benutzte eine Drahtbürste, um das G zu reinigen",Not Opening - Door,Gas Strut - Installed
SO0018596-11,SO0018596,11,Mark 102-970-7135,1,PASE,32977377     PASE,BELT,79.75,47.56,44764,60.06960000000001,47856.9793$,SO0018596-5,5,2022-05-12,PASEIH,6780,APPL,0,YFT042373,2409.5,Having fan belt issues,,"Der Kunde hatte Probleme damit, dass das Gerät die Lüfterriemen frisst. Jordan hat es auf den Lüfterriemenspanner isoliert. Ich habe den Lüfterriemen entfernt und dann den Spanner entfernt. Die Kurbelwellenriemenscheibe war voller Mist und scharfen Kanten, also ließ ich das Gerät laufen und benutzte eine Drahtbürste, um das G zu reinigen","Loose - Clip, Loose - Duct, Not Locked - Bulkhead","P Clip - Retightened, Nut - Retightened, Bolt - Retightened"
SO0018596-11,SO0018596,11,Mark 102-970-7135,1,PASE,32977377     PASE,BELT,79.75,47.56,44764,60.06960000000001,47856.9793$,SO0018596-6,6,2022-05-25,PASEIH,6780,APPL,0,YFT042399,2641.9,Still losing oil. would like this address now. Engine codes- Reference Service Order -5588,,"Begonnen habe ich mit dem Abziehen der Motorhaube, dem Abtrennen der Halterungen des Luftfiltergehäuses und aller daran befestigten Zubehörteile. DAS GEHÄUSE ENTFERNT UND MOTORÖL, KÜHLMITTEL UND HYDRAULIKFLÜSSIGKEIT ABGELASSEN. WIEDERGEWONNENES KÄLTEMITTEL. ALLE ANGESCHLOSSENEN LEITUNGEN UND SCHLÄUCHE ENTFERNT",Crushed - Compressor,Compressor Line - Replaced
SO0018596-12,SO0018596,12,Mark 102-970-7135,1,PASE,30020510R     PASE,FILTER  ELEMENT,192.0,120.2,44764,60.06960000000001,47856.9793$,SO0018596-10,10,2022-05-25,PASEIH,6780,APPL,0,YFT042399,2641.9,Still losing oil. would like this address now. Engine codes- Reference Service Order -5588,,"Begonnen habe ich mit dem Abziehen der Motorhaube, dem Abtrennen der Halterungen des Luftfiltergehäuses und aller daran befestigten Zubehörteile. DAS GEHÄUSE ENTFERNT UND MOTORÖL, KÜHLMITTEL UND HYDRAULIKFLÜSSIGKEIT ABGELASSEN. WIEDERGEWONNENES KÄLTEMITTEL. ALLE ANGESCHLOSSENEN LEITUNGEN UND SCHLÄUCHE ENTFERNT",Not Mentioned - No Component Mentioned,"Bolt - Replaced, Thread - Cleaned, No Component Mentioned - Installed, No Component Mentioned - Retightened"
SO0018596-12,SO0018596,12,Mark 102-970-7135,1,PASE,30020510R     PASE,FILTER  ELEMENT,192.0,120.2,44764,60.06960000000001,47856.9793$,SO0018596-11,11,2022-05-25,PASEIH,6780,APPL,0,YFT042399,2641.9,Still losing oil. would like this address now. Engine codes- Reference Service Order -5588,,"Begonnen habe ich mit dem Abziehen der Motorhaube, dem Abtrennen der Halterungen des Luftfiltergehäuses und aller daran befestigten Zubehörteile. DAS GEHÄUSE ENTFERNT UND MOTORÖL, KÜHLMITTEL UND HYDRAULIKFLÜSSIGKEIT ABGELASSEN. WIEDERGEWONNENES KÄLTEMITTEL. ALLE ANGESCHLOSSENEN LEITUNGEN UND SCHLÄUCHE ENTFERNT","Missed - No Component Mentioned, Missed - No Component Mentioned",No Component Mentioned - Installed
SO0018596-12,SO0018596,12,Mark 102-970-7135,1,PASE,30020510R     PASE,FILTER  ELEMENT,192.0,120.2,44764,60.06960000000001,47856.9793$,SO0018596-12,12,2022-05-25,PASEIH,6780,APPL,0,YFT042399,2641.9,Still losing oil. would like this address now. Engine codes- Reference Service Order -5588,,"Begonnen habe ich mit dem Abziehen der Motorhaube, dem Abtrennen der Halterungen des Luftfiltergehäuses und aller daran befestigten Zubehörteile. DAS GEHÄUSE ENTFERNT UND MOTORÖL, KÜHLMITTEL UND HYDRAULIKFLÜSSIGKEIT ABGELASSEN. WIEDERGEWONNENES KÄLTEMITTEL. ALLE ANGESCHLOSSENEN LEITUNGEN UND SCHLÄUCHE ENTFERNT",Leak - Coupler,"Coupler - Replaced, Machine - Tested"
SO0018596-12,SO0018596,12,Mark 102-970-7135,1,PASE,30020510R     PASE,FILTER  ELEMENT,192.0,120.2,44764,60.06960000000001,47856.9793$,SO0018596-13,13,2022-05-25,PASEIH,6780,APPL,0,YFT042399,2641.9,Still losing oil. would like this address now. Engine codes- Reference Service Order -5588,,"Begonnen habe ich mit dem Abziehen der Motorhaube, dem Abtrennen der Halterungen des Luftfiltergehäuses und aller daran befestigten Zubehörteile. DAS GEHÄUSE ENTFERNT UND MOTORÖL, KÜHLMITTEL UND HYDRAULIKFLÜSSIGKEIT ABGELASSEN. WIEDERGEWONNENES KÄLTEMITTEL. ALLE ANGESCHLOSSENEN LEITUNGEN UND SCHLÄUCHE ENTFERNT",Missed - Boom,"Bracket - Installed, Bolt - Installed"
SO0018596-12,SO0018596,12,Mark 102-970-7135,1,PASE,30020510R     PASE,FILTER  ELEMENT,192.0,120.2,44764,60.06960000000001,47856.9793$,SO0018596-3,3,2022-05-09,PASEIH,6780,APPL,0,YFT042399,2579.1999,Alternator not charging.,,"Anschlüsse zur Lichtmaschine gereinigt. Überprüfen Sie, ob das Chassis gut geerdet ist. Spannung am Erregerkabel überprüft. Wenn man die serienmäßige Verkabelung mit einem Satz Überbrückungskabeln umging und die Lichtmaschine manuell erregte, ließ sie sich immer noch nicht laden",Error Code - Nozzle,No Component Mentioned - No Component Mentioned
SO0018596-12,SO0018596,12,Mark 102-970-7135,1,PASE,30020510R     PASE,FILTER  ELEMENT,192.0,120.2,44764,60.06960000000001,47856.9793$,SO0018596-4,4,2022-05-12,PASEIH,6780,APPL,0,YFT042373,2409.5,Having fan belt issues,,"Der Kunde hatte Probleme damit, dass das Gerät die Lüfterriemen frisst. Jordan hat es auf den Lüfterriemenspanner isoliert. Ich habe den Lüfterriemen entfernt und dann den Spanner entfernt. Die Kurbelwellenriemenscheibe war voller Mist und scharfen Kanten, also ließ ich das Gerät laufen und benutzte eine Drahtbürste, um das G zu reinigen",Not Opening - Door,Gas Strut - Installed
SO0018596-12,SO0018596,12,Mark 102-970-7135,1,PASE,30020510R     PASE,FILTER  ELEMENT,192.0,120.2,44764,60.06960000000001,47856.9793$,SO0018596-5,5,2022-05-12,PASEIH,6780,APPL,0,YFT042373,2409.5,Having fan belt issues,,"Der Kunde hatte Probleme damit, dass das Gerät die Lüfterriemen frisst. Jordan hat es auf den Lüfterriemenspanner isoliert. Ich habe den Lüfterriemen entfernt und dann den Spanner entfernt. Die Kurbelwellenriemenscheibe war voller Mist und scharfen Kanten, also ließ ich das Gerät laufen und benutzte eine Drahtbürste, um das G zu reinigen","Loose - Clip, Loose - Duct, Not Locked - Bulkhead","P Clip - Retightened, Nut - Retightened, Bolt - Retightened"
SO0018596-12,SO0018596,12,Mark 102-970-7135,1,PASE,30020510R     PASE,FILTER  ELEMENT,192.0,120.2,44764,60.06960000000001,47856.9793$,SO0018596-6,6,2022-05-25,PASEIH,6780,APPL,0,YFT042399,2641.9,Still losing oil. would like this address now. Engine codes- Reference Service Order -5588,,"Begonnen habe ich mit dem Abziehen der Motorhaube, dem Abtrennen der Halterungen des Luftfiltergehäuses und aller daran befestigten Zubehörteile. DAS GEHÄUSE ENTFERNT UND MOTORÖL, KÜHLMITTEL UND HYDRAULIKFLÜSSIGKEIT ABGELASSEN. WIEDERGEWONNENES KÄLTEMITTEL. ALLE ANGESCHLOSSENEN LEITUNGEN UND SCHLÄUCHE ENTFERNT",Crushed - Compressor,Compressor Line - Replaced
SO0018596-13,SO0018596,13,Mark 102-970-7135,1,PASE,14041035     PASE,HOSE,275.0,170.31,44764,60.06960000000001,47856.9793$,SO0018596-10,10,2022-05-25,PASEIH,6780,APPL,0,YFT042399,2641.9,Still losing oil. would like this address now. Engine codes- Reference Service Order -5588,,"Begonnen habe ich mit dem Abziehen der Motorhaube, dem Abtrennen der Halterungen des Luftfiltergehäuses und aller daran befestigten Zubehörteile. DAS GEHÄUSE ENTFERNT UND MOTORÖL, KÜHLMITTEL UND HYDRAULIKFLÜSSIGKEIT ABGELASSEN. WIEDERGEWONNENES KÄLTEMITTEL. ALLE ANGESCHLOSSENEN LEITUNGEN UND SCHLÄUCHE ENTFERNT",Not Mentioned - No Component Mentioned,"Bolt - Replaced, Thread - Cleaned, No Component Mentioned - Installed, No Component Mentioned - Retightened"
SO0018596-13,SO0018596,13,Mark 102-970-7135,1,PASE,14041035     PASE,HOSE,275.0,170.31,44764,60.06960000000001,47856.9793$,SO0018596-11,11,2022-05-25,PASEIH,6780,APPL,0,YFT042399,2641.9,Still losing oil. would like this address now. Engine codes- Reference Service Order -5588,,"Begonnen habe ich mit dem Abziehen der Motorhaube, dem Abtrennen der Halterungen des Luftfiltergehäuses und aller daran befestigten Zubehörteile. DAS GEHÄUSE ENTFERNT UND MOTORÖL, KÜHLMITTEL UND HYDRAULIKFLÜSSIGKEIT ABGELASSEN. WIEDERGEWONNENES KÄLTEMITTEL. ALLE ANGESCHLOSSENEN LEITUNGEN UND SCHLÄUCHE ENTFERNT","Missed - No Component Mentioned, Missed - No Component Mentioned",No Component Mentioned - Installed
SO0018596-13,SO0018596,13,Mark 102-970-7135,1,PASE,14041035     PASE,HOSE,275.0,170.31,44764,60.06960000000001,47856.9793$,SO0018596-12,12,2022-05-25,PASEIH,6780,APPL,0,YFT042399,2641.9,Still losing oil. would like this address now. Engine codes- Reference Service Order -5588,,"Begonnen habe ich mit dem Abziehen der Motorhaube, dem Abtrennen der Halterungen des Luftfiltergehäuses und aller daran befestigten Zubehörteile. DAS GEHÄUSE ENTFERNT UND MOTORÖL, KÜHLMITTEL UND HYDRAULIKFLÜSSIGKEIT ABGELASSEN. WIEDERGEWONNENES KÄLTEMITTEL. ALLE ANGESCHLOSSENEN LEITUNGEN UND SCHLÄUCHE ENTFERNT",Leak - Coupler,"Coupler - Replaced, Machine - Tested"
